8
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot 200%-Pot 400%-Pot All-In 
0.00855788 0.00305667 0.984598 0.00471352 0.000217144 0.00300214 0.00384362 0.000319953 0.000248727 
0.0119554 0.00613121 0.44646 0.00865962 0.000588111 0.121291 0.412008 0.00485759 4.76027e-06 
0.0297553 0.00800486 0.585165 0.00820651 0.000193847 0.396289 0.00186747 0.000270325 3.56024e-06 
0.37013 0.0305654 0.961423 0.00184742 0.00106857 0.00287247 0.0019443 0.000275806 3.1134e-06 
0.0496764 0.205858 0.626855 0.000372972 0.0166028 0.13236 0.0015603 0.0113422 0.00504898 
0.1336 0.0778055 0.902146 0.000206338 0.00637167 0.00324712 0.0046058 0.00393106 0.00168673 
0.00786598 0.000797776 0.0291675 0.0527583 0.141485 0.747829 0.0244224 0.00338573 0.000153449 
0.00593088 0.0013682 0.0389858 0.09392 0.18714 0.675915 0.00044191 0.00204533 0.000183619 
9.692e-05 0.00047364 0.0640942 0.00416888 0.153418 0.545474 0.219511 0.0126666 0.000193349 
1.24888e-06 0.000717428 0.0857724 0.00748343 0.0771191 0.820641 0.00731015 0.000955007 1.30199e-06 
9.23598e-05 0.000794047 0.0583702 0.0213594 0.299893 0.482941 0.0860728 0.0372032 0.0133664 
0.000332111 8.39888e-05 0.0288983 0.010677 0.347573 0.59719 0.00973042 0.00437985 0.00146804 
0.0850817 0.000401037 0.531457 0.00181041 0.00159448 0.0777231 0.382831 0.00416299 1.97675e-05 
0.000185531 0.000421817 0.997003 0.00161811 0.000156237 0.00049353 0.000288976 1.79255e-05 2.19076e-07 
0.25569 8.88833e-05 0.657817 0.00217937 0.00583089 0.0671413 0.255253 0.011497 0.000192302 
0.146466 0.000132168 0.855267 0.00995931 0.0176735 0.107628 0.00842916 0.000864655 4.59841e-05 
0.000487128 0.00139045 0.53509 0.00061199 0.00102226 0.39292 0.0257335 0.0430745 0.000156901 
0.107043 0.000629957 0.999027 0.000109642 0.000221588 2.29356e-06 5.70415e-06 1.22774e-06 2.48812e-06 
0.000781746 0.00342377 0.0662748 0.0219964 0.288226 0.499489 0.100971 0.00450936 0.0151096 
0.112591 0.00428421 0.457589 0.0437867 0.0346712 0.341136 0.116373 0.00207314 8.63936e-05 
0.0349081 0.00751108 0.276683 0.08719 0.0552844 0.57228 0.000868708 0.00018366 0 
0.0106028 0.00157647 0.0313576 0.0872722 0.128856 0.723978 0.0244589 0.00230962 0.000191113 
0.00915738 0.00214689 0.0411758 0.128434 0.174511 0.652064 0.000478362 0.000969217 0.000221283 
0.0520487 0.000121436 0.00364709 0.0172268 0.14116 0.486039 0.342474 0.00781177 0.0015202 
0.122387 0.000211797 0.00658197 0.0269987 0.0672485 0.697761 0.198416 0.0027813 8.60751e-07 
0.000868546 0.000744277 0.0984669 0.0330014 0.234318 0.475973 0.0993911 0.0440379 0.0140682 
0.00100854 3.42185e-05 0.068995 0.022319 0.281997 0.590222 0.0230487 0.0112146 0.00216986 
0.00448662 0.000401037 0.531457 0.00181041 0.00159448 0.0777231 0.382831 0.00416299 1.97675e-05 
0.0284859 0.000421817 0.997003 0.00161811 0.000156237 0.00049353 0.000288976 1.79255e-05 2.19076e-07 
0.120828 4.92791e-05 0.65273 0.0133233 0.00434796 0.0621591 0.255629 0.0116001 0.00016165 
0.13978 7.37018e-05 0.97371 0.0174058 0.00277783 0.00352875 0.00180033 0.000663539 4.03296e-05 
0.023332 0.00139045 0.53509 0.00061199 0.00102226 0.39292 0.0257335 0.0430745 0.000156901 
0.0129166 0.000629957 0.999027 0.000109642 0.000221588 2.29356e-06 5.70415e-06 1.22774e-06 2.48812e-06 
0.00241241 0.0264691 0.471006 0.150918 0.00882333 0.151818 0.188859 0.00137575 0.000730825 
0.0324223 0.00157647 0.0313576 0.0872722 0.128856 0.723978 0.0244589 0.00230962 0.000191113 
0.00102355 0.00214689 0.0411758 0.128434 0.174511 0.652064 0.000478362 0.000969217 0.000221283 
0.105759 0.000121436 0.00364709 0.0172268 0.14116 0.486039 0.342474 0.00781177 0.0015202 
0.259347 0.000211797 0.00658197 0.0269987 0.0672485 0.697761 0.198416 0.0027813 8.60751e-07 
0.0011761 4.2641e-05 0.0595463 0.0429529 0.258753 0.575594 0.0519689 0.00796602 0.00317628 
0.000945372 3.42185e-05 0.068995 0.022319 0.281997 0.590222 0.0230487 0.0112146 0.00216986 
0.00786423 0.000401037 0.531457 0.00181041 0.00159448 0.0777231 0.382831 0.00416299 1.97675e-05 
0.0454537 0.000421817 0.997003 0.00161811 0.000156237 0.00049353 0.000288976 1.79255e-05 2.19076e-07 
0.0255077 8.43395e-05 0.750146 0.0620803 0.077271 0.0521158 0.0150172 0.0432236 6.20914e-05 
0.175107 7.37018e-05 0.97371 0.0174058 0.00277783 0.00352875 0.00180033 0.000663539 4.03296e-05 
0.000444356 0.00139045 0.53509 0.00061199 0.00102226 0.39292 0.0257335 0.0430745 0.000156901 
0.0178292 0.000629957 0.999027 0.000109642 0.000221588 2.29356e-06 5.70415e-06 1.22774e-06 2.48812e-06 
0.0157774 1.75179e-07 0.945592 0.00784867 0.00776794 0.0161292 0.0128421 0.00941373 0.000406324 
0.00422878 0.000458975 0.081177 0.0752341 0.115166 0.464604 0.227474 0.035317 0.000569112 
0.000328376 0.000688462 0.0177941 0.112714 0.17079 0.696786 2.84059e-05 0.000346024 0.000853668 
0.00911697 5.15573e-05 0.12909 0.0951338 0.07138 0.194847 0.508836 0.000167278 0.000494429 
0.219261 0.000154757 0.341446 0.02787 0.0624285 0.373776 0.179401 0.0143281 0.000594835 
0.000226045 0.00101887 0.0833412 0.116533 0.154811 0.468941 0.0839964 0.0782942 0.0130639 
0.0223889 0.000688462 0.0177941 0.112714 0.17079 0.696786 2.84059e-05 0.000346024 0.000853668 
0.00745416 6.34673e-07 0.785381 0.0802453 0.0987619 0.00655352 0.017759 0.00859694 0.00270162 
0.170182 6.34673e-07 0.785381 0.0802453 0.0987619 0.00655352 0.017759 0.00859694 0.00270162 
9.99731e-05 0.00116652 0.0249596 0.215053 0.345965 0.382642 0.025154 0.0019327 0.00312728 
0.00108238 0.00153197 0.0315789 0.320106 0.500173 0.14006 0.0015211 0.000403839 0.00462553 
0.00154133 0.000688462 0.0177941 0.112714 0.17079 0.696786 2.84059e-05 0.000346024 0.000853668 
5.09677e-05 0.00129298 0.239257 0.164919 0.166576 0.0659737 0.0461867 0.0418622 0.273932 
0.000849865 0.000341015 0.356861 0.215366 0.247579 0.0682756 0.0684788 0.0386646 0.00443346 
0.00588864 2.53313e-06 0.0668237 0.0521095 0.0620849 0.711629 0.0648509 0.0403825 0.00211737 
0.163641 2.53313e-06 0.0668237 0.0521095 0.0620849 0.711628 0.0648509 0.0403825 0.00211737 
0.000422979 0.000117835 0.745842 0.0565781 0.0762512 0.057724 0.0195986 0.0436346 0.000253758 
0.0968204 0.000123945 0.967254 0.00915241 0.00124811 0.0119411 0.00867237 0.00127993 0.00032783 
0.0118814 0.00120767 0.187553 0.307057 0.427874 0.0718152 0.00317626 0.000957832 0.000358733 
0.00704965 0.00196486 0.0678439 0.534716 0.376948 0.0157525 0.00203341 0.000603921 0.00013738 
0.473092 1.75179e-07 0.945592 0.00784867 0.00776794 0.0161292 0.0128421 0.00941373 0.000406324 
9.90737e-05 0.00129298 0.239257 0.164919 0.166576 0.0659737 0.0461867 0.0418622 0.273932 
5.59619e-05 0.000341015 0.356861 0.215366 0.247579 0.0682756 0.0684788 0.0386646 0.00443346 
0.0648008 7.37555e-06 7.37555e-06 0.00907379 0.0739813 0.411151 0.436345 0.0655837 0.00385048 
0.390068 3.12094e-07 3.12094e-07 0.00458682 0.0756615 0.334878 0.496512 0.0883567 3.48464e-06 
0.011318 0.000421435 0.167941 0.123379 0.300827 0.261998 0.0820113 0.060619 0.00280414 
6.58689e-05 0.00060241 0.231587 0.142959 0.345107 0.119827 0.0681123 0.0901941 0.00161165 
0.00713068 0.00148124 0.029186 0.0885943 0.13022 0.32637 0.327279 0.0962913 0.00057819 
0.0671846 0.000104235 0.552255 0.0271237 0.00109967 0.0747991 0.156998 0.183689 0.00393135 
0.0175737 2.28204e-05 0.825444 0.0401361 0.000643722 0.0611686 0.0646592 0.00327261 0.00465266 
0.179901 0.00071624 0.813576 0.14529 0.0218552 0.00373287 0.0107482 0.00304701 0.00103407 
0.00146756 0.00136094 0.697558 0.222732 0.0430143 0.00734847 0.0202078 0.00592765 0.00185094 
0.201074 1.75179e-07 0.945592 0.00784867 0.00776794 0.0161292 0.0128421 0.00941373 0.000406324 
0.000102164 8.263e-05 0.713679 0.103236 0.0522015 0.0427211 0.0342584 0.00197705 0.0518437 
0.0331741 0.000123945 0.967254 0.00915241 0.00124811 0.0119411 0.00867237 0.00127993 0.00032783 
0.0574407 0.000123945 0.967254 0.00915241 0.00124811 0.0119411 0.00867237 0.00127993 0.00032783 
