6
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot All-In 
0.30956 8.85209e-06 0.824242 0.0718368 0.0241759 0.0787344 0.0010021 
0.282953 7.16536e-06 0.809606 0.0588826 0.0398255 0.0908987 0.000780132 
0.308693 0.00163361 0.751035 0.0118112 0.0822837 0.153214 2.21456e-05 
0.205817 0.00401183 0.820621 0.0480221 0.0322329 0.095073 3.9498e-05 
0.0766736 0.0298396 0.955386 0.00505922 0.00118047 0.00670609 0.00182827 
0.59982 0.00109688 0.6799 0.0101864 0.219547 0.0867555 0.00251468 
0.228581 0.00160885 0.998145 5.56195e-05 4.0675e-05 0.000127356 2.24133e-05 
0.158107 0.00141329 0.525634 0.162091 0.123352 0.186422 0.00108823 
0.539673 0.00150149 0.602943 0.200114 0.0372919 0.15809 5.93633e-05 
0.223937 0.00156764 0.995746 0.00153917 0.000815081 0.000261084 7.09714e-05 
0.296783 0.00164882 0.990138 0.00460214 0.00320365 0.000341707 6.55974e-05 
0.0924316 0.00107789 0.73628 0.0264816 0.0841478 0.152006 6.67326e-06 
0.407644 0.000838033 0.97216 0.0222005 0.00229124 0.0025067 3.48395e-06 
0.0516348 7.16536e-06 0.809606 0.0588826 0.0398255 0.0908987 0.000780132 
0.354466 7.16536e-06 0.809606 0.0588826 0.0398255 0.0908987 0.000780132 
0.00534099 0.00187027 0.742335 0.0182489 0.082285 0.155235 2.57985e-05 
0.288988 0.00202525 0.977281 0.0128927 4.02468e-05 0.00773422 2.60391e-05 
0.0114134 0.000546279 0.547054 0.259935 0.0029408 0.104524 0.0849996 
0.427241 0.000791266 0.7231 0.0744749 0.0908389 0.110751 4.44666e-05 
0.486276 0.0014269 0.956554 0.0345558 0.00679971 0.000516637 0.000146536 
0.0255626 1.25487e-05 0.579562 0.0400697 0.276521 0.100841 0.00299377 
0.455296 0.000203426 0.709911 0.0321989 0.160997 0.0945445 0.00214519 
0.021123 0.00139923 0.730375 0.0701463 0.0878758 0.11016 4.38367e-05 
0.508548 0.00138987 0.994251 0.00202541 0.00194941 7.2817e-05 0.000311226 
0.0115008 0.000457929 0.883711 0.0217044 0.00696411 0.086149 0.00101375 
0.15624 0.000263815 0.508954 0.285494 0.031045 0.172439 0.00180449 
0.000144949 0.0010532 0.694268 0.16534 0.0338816 0.0245297 0.0809268 
0.258858 0.00108112 0.992045 0.00365455 0.00252178 0.000666891 3.09809e-05 
0.0386349 0.0014103 0.994646 0.00182487 0.00175816 7.86838e-05 0.000282447 
0.0250231 1.41495e-05 0.994682 0.00417645 6.51041e-06 8.97688e-05 0.00103164 
0.577959 7.1923e-05 0.993854 0.0030453 1.40632e-05 0.00187208 0.00114301 
0.0179847 9.72425e-05 0.171087 0.279949 0.328474 0.207548 0.012845 
0.395186 1.20695e-05 0.364836 0.217561 0.165292 0.247495 0.0048044 
0.00168402 4.95992e-05 0.0134518 0.0242971 0.192886 0.768281 0.00103473 
0.487929 0.000942992 0.0324246 0.162557 0.287886 0.515215 0.000974561 
0.0186546 0.00423163 0.811668 0.172105 0.00392157 0.00793519 0.000138359 
0.0671838 0.00417666 0.977212 0.0112587 0.000946539 0.00637282 3.34353e-05 
0.204358 4.13942e-05 0.805378 0.0909087 5.89424e-05 0.097948 0.00566531 
0.513751 0.000226197 0.992444 0.00264116 1.75024e-05 0.00406991 0.000601671 
0.290193 0.000226197 0.992444 0.00264116 1.75024e-05 0.00406991 0.000601671 
0.0736367 5.03766e-05 0.00314156 0.283763 0.0423589 0.667105 0.00358157 
0.305055 2.76859e-05 0.00621005 0.460488 0.0527558 0.477299 0.00322019 
0.0834675 0.00212844 0.95533 0.00670045 0.0331495 0.00215346 0.000537959 
0.0230555 0.00167267 0.984213 0.00767307 0.00539341 0.000582991 0.000464912 
0.280475 0.00163753 0.938517 0.0306678 0.0175227 0.0112559 0.000398805 
0.226788 4.02706e-06 0.0108543 0.0397948 0.79703 0.151766 0.000551668 
0.08892 0.00148454 0.149441 0.0909026 0.548864 0.205562 0.00374593 
0.35534 0.00280569 0.749966 0.23973 0.00504343 0.00232892 0.000126619 
0.0822758 0.00322603 0.936077 0.0563418 0.00169444 0.00263531 2.56082e-05 
0.0868565 4.13942e-05 0.805378 0.0909087 5.89424e-05 0.097948 0.00566531 
0.011998 1.68984e-05 0.112701 0.0298803 0.775305 0.080342 0.00175494 
0.317684 1.2608e-05 0.0787523 0.0331851 0.782546 0.10415 0.00135385 
0.0903388 8.44921e-06 0.23038 0.0499725 0.603339 0.11257 0.00372949 
