8
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot 200%-Pot 400%-Pot All-In 
0.602906 8.56031e-05 0.00220133 0.993288 0.00273879 0.00164577 3.85134e-05 1.55679e-06 3.49286e-07 
0.00520438 0.00185427 0.645835 0.177413 0.0656742 0.0757765 0.0334464 0 0 
0.710853 1.36038e-07 0.00951388 0.973431 0.0148944 0.00124496 0.000697304 0.000187398 3.11415e-05 
0.000376854 8.89168e-05 0.0194811 0.962569 0.0152703 0.00247895 5.96228e-05 3.30614e-05 1.88799e-05 
0.673634 8.89168e-05 0.0194811 0.962569 0.0152703 0.00247895 5.96228e-05 3.30614e-05 1.88799e-05 
0.0797156 4.14495e-07 0.0019441 0.984745 0.0106598 0.00174982 0.000340354 0.000289409 0.000270754 
0.459628 4.14495e-07 0.0019441 0.984745 0.0106598 0.00174982 0.000340354 0.000289409 0.000270754 
0.208222 0.000118363 0.00951406 0.963114 0.0261499 0.000954723 0.000106884 4.22716e-05 1.34613e-07 
0.493458 0.000118363 0.00951406 0.963114 0.0261499 0.000954723 0.000106884 4.22716e-05 1.34613e-07 
6.69038e-05 0 0.136599 0.207303 0.577026 0.050985 0.02447 0.00180832 0.00180832 
0.0361484 0.000115353 0.00851266 0.948761 0.0387469 0.00369824 0.000136889 2.84575e-05 2.10341e-07 
0.840607 0.000115353 0.00851266 0.948761 0.0387469 0.00369824 0.000136889 2.84575e-05 2.10341e-07 
0.0132805 2.69949e-05 0.0760012 0.506625 0.0918813 0.021027 0.146799 0.0997366 0.0579032 
0.140564 8.4986e-07 0.100739 0.852001 0.0200945 0.0146265 0.00785334 0.00422213 0.000462403 
0.0266472 0 0.00384822 0.979248 0.00975873 0.00650257 0.000409019 0.000233758 0 
0.555324 0 0.00384822 0.979248 0.00975873 0.00650257 0.000409019 0.000233758 0 
0.0423361 0.000435153 0.777408 0.217582 0.00353706 0.000319586 0.000717494 1.46406e-07 1.46406e-07 
0.398771 0.000435153 0.777408 0.217582 0.00353706 0.000319586 0.000717494 1.46406e-07 1.46406e-07 
3.32846e-08 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 
0.00898428 0.000132223 0.0331904 0.954114 0.0113923 0.00102463 0.000139875 1.34951e-06 5.25961e-06 
0.83467 0.000132223 0.0331904 0.954114 0.0113923 0.00102463 0.000139875 1.34951e-06 5.25961e-06 
0.0104883 1.46967e-06 0.00590242 0.936466 0.0521214 0.00379024 0.00134337 0.000116544 0.000258625 
0.31472 1.46967e-06 0.00590242 0.936466 0.0521214 0.00379024 0.00134337 0.000116544 0.000258625 
0.0284203 0.000299844 0.41275 0.584871 0.00152498 0.000344921 0.000195605 8.57015e-06 4.9632e-06 
